"intid","year","studyid","interaction","taxatype","whatmeasured","measurement","variable","value"
126,1996,"HMK006","competition","spp","phenovalue",139,"spp1","Hylurgops rugipennis pinifex"
126,1997,"HMK006","competition","spp","phenovalue",127,"spp1","Hylurgops rugipennis pinifex"
127,1996,"HMK006","competition","spp","phenovalue",139,"spp1","Hylurgops rugipennis pinifex"
127,1997,"HMK006","competition","spp","phenovalue",127,"spp1","Hylurgops rugipennis pinifex"
128,1996,"HMK006","competition","spp","phenovalue",139,"spp1","Ips grandicollis"
128,1997,"HMK006","competition","spp","phenovalue",149,"spp1","Ips grandicollis"
129,1996,"HMK006","competition","spp","phenovalue",139,"spp1","Ips grandicollis"
129,1997,"HMK006","competition","spp","phenovalue",149,"spp1","Ips grandicollis"
130,1996,"HMK006","competition","spp","phenovalue",139,"spp1","Ips grandicollis"
130,1997,"HMK006","competition","spp","phenovalue",149,"spp1","Ips grandicollis"
131,1996,"HMK006","competition","spp","phenovalue",139,"spp1","Ips grandicollis"
131,1997,"HMK006","competition","spp","phenovalue",149,"spp1","Ips grandicollis"
132,1996,"HMK006","competition","spp","phenovalue",139,"spp1","Ips grandicollis"
132,1997,"HMK006","competition","spp","phenovalue",149,"spp1","Ips grandicollis"
133,1996,"HMK006","competition","spp","phenovalue",134,"spp1","Ips pini"
133,1997,"HMK006","competition","spp","phenovalue",127,"spp1","Ips pini"
134,1996,"HMK006","competition","spp","phenovalue",134,"spp1","Ips pini"
134,1997,"HMK006","competition","spp","phenovalue",127,"spp1","Ips pini"
135,1996,"HMK006","competition","spp","phenovalue",134,"spp1","Ips pini"
135,1997,"HMK006","competition","spp","phenovalue",127,"spp1","Ips pini"
136,1996,"HMK006","competition","spp","phenovalue",134,"spp1","Ips pini"
136,1997,"HMK006","competition","spp","phenovalue",127,"spp1","Ips pini"
137,1996,"HMK006","competition","spp","phenovalue",186.5,"spp1","Monochamus spp."
137,1997,"HMK006","competition","spp","phenovalue",176.5,"spp1","Monochamus spp."
138,1996,"HMK006","competition","spp","phenovalue",186.5,"spp1","Monochamus spp."
138,1997,"HMK006","competition","spp","phenovalue",176.5,"spp1","Monochamus spp."
139,1996,"HMK006","competition","spp","phenovalue",186.5,"spp1","Monochamus spp."
139,1997,"HMK006","competition","spp","phenovalue",176.5,"spp1","Monochamus spp."
140,1996,"HMK006","competition","spp","phenovalue",139,"spp1","Orthotomicus caelatus"
140,1997,"HMK006","competition","spp","phenovalue",154,"spp1","Orthotomicus caelatus"
141,1996,"HMK006","competition","spp","phenovalue",139,"spp1","Orthotomicus caelatus"
141,1997,"HMK006","competition","spp","phenovalue",154,"spp1","Orthotomicus caelatus"
142,1996,"HMK006","competition","spp","phenovalue",118.5,"spp1","Pissodes approximatus"
142,1997,"HMK006","competition","spp","phenovalue",94,"spp1","Pissodes approximatus"
22,1996,"HMK006","predation","spp","phenovalue",139.5,"spp1","Dendroctonus valens"
22,1997,"HMK006","predation","spp","phenovalue",150,"spp1","Dendroctonus valens"
23,1996,"HMK006","predation","spp","phenovalue",139.5,"spp1","Dendroctonus valens"
23,1997,"HMK006","predation","spp","phenovalue",150,"spp1","Dendroctonus valens"
24,1996,"HMK006","predation","spp","phenovalue",139.5,"spp1","Dendroctonus valens"
24,1997,"HMK006","predation","spp","phenovalue",150,"spp1","Dendroctonus valens"
25,1996,"HMK006","predation","spp","phenovalue",139.5,"spp1","Dendroctonus valens"
25,1997,"HMK006","predation","spp","phenovalue",150,"spp1","Dendroctonus valens"
26,1996,"HMK006","predation","spp","phenovalue",139.5,"spp1","Dendroctonus valens"
26,1997,"HMK006","predation","spp","phenovalue",150,"spp1","Dendroctonus valens"
27,1996,"HMK006","predation","spp","phenovalue",139.5,"spp1","Dendroctonus valens"
27,1997,"HMK006","predation","spp","phenovalue",150,"spp1","Dendroctonus valens"
28,1996,"HMK006","predation","spp","phenovalue",140,"spp1","Dryocetes autographus"
28,1997,"HMK006","predation","spp","phenovalue",156,"spp1","Dryocetes autographus"
29,1996,"HMK006","predation","spp","phenovalue",140,"spp1","Dryocetes autographus"
29,1997,"HMK006","predation","spp","phenovalue",156,"spp1","Dryocetes autographus"
30,1996,"HMK006","predation","spp","phenovalue",140,"spp1","Dryocetes autographus"
30,1997,"HMK006","predation","spp","phenovalue",156,"spp1","Dryocetes autographus"
31,1996,"HMK006","predation","spp","phenovalue",140,"spp1","Dryocetes autographus"
31,1997,"HMK006","predation","spp","phenovalue",156,"spp1","Dryocetes autographus"
32,1996,"HMK006","predation","spp","phenovalue",140,"spp1","Dryocetes autographus"
32,1997,"HMK006","predation","spp","phenovalue",156,"spp1","Dryocetes autographus"
33,1996,"HMK006","predation","spp","phenovalue",140,"spp1","Dryocetes autographus"
33,1997,"HMK006","predation","spp","phenovalue",156,"spp1","Dryocetes autographus"
34,1996,"HMK006","predation","spp","phenovalue",132,"spp1","Gnathotrichus materiarius"
34,1997,"HMK006","predation","spp","phenovalue",143,"spp1","Gnathotrichus materiarius"
35,1996,"HMK006","predation","spp","phenovalue",132,"spp1","Gnathotrichus materiarius"
35,1997,"HMK006","predation","spp","phenovalue",143,"spp1","Gnathotrichus materiarius"
36,1996,"HMK006","predation","spp","phenovalue",132,"spp1","Gnathotrichus materiarius"
36,1997,"HMK006","predation","spp","phenovalue",143,"spp1","Gnathotrichus materiarius"
37,1996,"HMK006","predation","spp","phenovalue",132,"spp1","Gnathotrichus materiarius"
37,1997,"HMK006","predation","spp","phenovalue",143,"spp1","Gnathotrichus materiarius"
38,1996,"HMK006","predation","spp","phenovalue",132,"spp1","Gnathotrichus materiarius"
38,1997,"HMK006","predation","spp","phenovalue",143,"spp1","Gnathotrichus materiarius"
39,1996,"HMK006","predation","spp","phenovalue",132,"spp1","Gnathotrichus materiarius"
39,1997,"HMK006","predation","spp","phenovalue",143,"spp1","Gnathotrichus materiarius"
40,1996,"HMK006","predation","spp","phenovalue",141,"spp1","Hylastes porculus"
40,1997,"HMK006","predation","spp","phenovalue",155.5,"spp1","Hylastes porculus"
41,1996,"HMK006","predation","spp","phenovalue",141,"spp1","Hylastes porculus"
41,1997,"HMK006","predation","spp","phenovalue",155.5,"spp1","Hylastes porculus"
42,1996,"HMK006","predation","spp","phenovalue",141,"spp1","Hylastes porculus"
42,1997,"HMK006","predation","spp","phenovalue",155.5,"spp1","Hylastes porculus"
43,1996,"HMK006","predation","spp","phenovalue",141,"spp1","Hylastes porculus"
43,1997,"HMK006","predation","spp","phenovalue",155.5,"spp1","Hylastes porculus"
44,1996,"HMK006","predation","spp","phenovalue",141,"spp1","Hylastes porculus"
44,1997,"HMK006","predation","spp","phenovalue",155.5,"spp1","Hylastes porculus"
45,1996,"HMK006","predation","spp","phenovalue",141,"spp1","Hylastes porculus"
45,1997,"HMK006","predation","spp","phenovalue",155.5,"spp1","Hylastes porculus"
46,1996,"HMK006","predation","spp","phenovalue",139,"spp1","Hylurgops rugipennis pinifex"
46,1997,"HMK006","predation","spp","phenovalue",127,"spp1","Hylurgops rugipennis pinifex"
47,1996,"HMK006","predation","spp","phenovalue",139,"spp1","Hylurgops rugipennis pinifex"
47,1997,"HMK006","predation","spp","phenovalue",127,"spp1","Hylurgops rugipennis pinifex"
48,1996,"HMK006","predation","spp","phenovalue",139,"spp1","Hylurgops rugipennis pinifex"
48,1997,"HMK006","predation","spp","phenovalue",127,"spp1","Hylurgops rugipennis pinifex"
49,1996,"HMK006","predation","spp","phenovalue",139,"spp1","Hylurgops rugipennis pinifex"
49,1997,"HMK006","predation","spp","phenovalue",127,"spp1","Hylurgops rugipennis pinifex"
50,1996,"HMK006","predation","spp","phenovalue",139,"spp1","Hylurgops rugipennis pinifex"
50,1997,"HMK006","predation","spp","phenovalue",127,"spp1","Hylurgops rugipennis pinifex"
51,1996,"HMK006","predation","spp","phenovalue",139,"spp1","Hylurgops rugipennis pinifex"
51,1997,"HMK006","predation","spp","phenovalue",127,"spp1","Hylurgops rugipennis pinifex"
52,1996,"HMK006","predation","spp","phenovalue",139,"spp1","Ips grandicollis"
52,1997,"HMK006","predation","spp","phenovalue",149,"spp1","Ips grandicollis"
53,1996,"HMK006","predation","spp","phenovalue",139,"spp1","Ips grandicollis"
53,1997,"HMK006","predation","spp","phenovalue",149,"spp1","Ips grandicollis"
54,1996,"HMK006","predation","spp","phenovalue",139,"spp1","Ips grandicollis"
54,1997,"HMK006","predation","spp","phenovalue",149,"spp1","Ips grandicollis"
55,1996,"HMK006","predation","spp","phenovalue",139,"spp1","Ips grandicollis"
55,1997,"HMK006","predation","spp","phenovalue",149,"spp1","Ips grandicollis"
56,1996,"HMK006","predation","spp","phenovalue",139,"spp1","Ips grandicollis"
56,1997,"HMK006","predation","spp","phenovalue",149,"spp1","Ips grandicollis"
57,1996,"HMK006","predation","spp","phenovalue",139,"spp1","Ips grandicollis"
57,1997,"HMK006","predation","spp","phenovalue",149,"spp1","Ips grandicollis"
58,1996,"HMK006","predation","spp","phenovalue",134,"spp1","Ips pini"
58,1997,"HMK006","predation","spp","phenovalue",127,"spp1","Ips pini"
59,1996,"HMK006","predation","spp","phenovalue",134,"spp1","Ips pini"
59,1997,"HMK006","predation","spp","phenovalue",127,"spp1","Ips pini"
60,1996,"HMK006","predation","spp","phenovalue",134,"spp1","Ips pini"
60,1997,"HMK006","predation","spp","phenovalue",127,"spp1","Ips pini"
61,1996,"HMK006","predation","spp","phenovalue",134,"spp1","Ips pini"
61,1997,"HMK006","predation","spp","phenovalue",127,"spp1","Ips pini"
62,1996,"HMK006","predation","spp","phenovalue",134,"spp1","Ips pini"
62,1997,"HMK006","predation","spp","phenovalue",127,"spp1","Ips pini"
63,1996,"HMK006","predation","spp","phenovalue",134,"spp1","Ips pini"
63,1997,"HMK006","predation","spp","phenovalue",127,"spp1","Ips pini"
64,1996,"HMK006","predation","spp","phenovalue",186.5,"spp1","Monochamus spp."
64,1997,"HMK006","predation","spp","phenovalue",176.5,"spp1","Monochamus spp."
65,1996,"HMK006","predation","spp","phenovalue",186.5,"spp1","Monochamus spp."
65,1997,"HMK006","predation","spp","phenovalue",176.5,"spp1","Monochamus spp."
66,1996,"HMK006","predation","spp","phenovalue",186.5,"spp1","Monochamus spp."
66,1997,"HMK006","predation","spp","phenovalue",176.5,"spp1","Monochamus spp."
67,1996,"HMK006","predation","spp","phenovalue",186.5,"spp1","Monochamus spp."
67,1997,"HMK006","predation","spp","phenovalue",176.5,"spp1","Monochamus spp."
68,1996,"HMK006","predation","spp","phenovalue",186.5,"spp1","Monochamus spp."
68,1997,"HMK006","predation","spp","phenovalue",176.5,"spp1","Monochamus spp."
69,1996,"HMK006","predation","spp","phenovalue",186.5,"spp1","Monochamus spp."
69,1997,"HMK006","predation","spp","phenovalue",176.5,"spp1","Monochamus spp."
70,1996,"HMK006","predation","spp","phenovalue",139,"spp1","Orthotomicus caelatus"
70,1997,"HMK006","predation","spp","phenovalue",154,"spp1","Orthotomicus caelatus"
71,1996,"HMK006","predation","spp","phenovalue",139,"spp1","Orthotomicus caelatus"
71,1997,"HMK006","predation","spp","phenovalue",154,"spp1","Orthotomicus caelatus"
72,1996,"HMK006","predation","spp","phenovalue",139,"spp1","Orthotomicus caelatus"
72,1997,"HMK006","predation","spp","phenovalue",154,"spp1","Orthotomicus caelatus"
73,1996,"HMK006","predation","spp","phenovalue",139,"spp1","Orthotomicus caelatus"
73,1997,"HMK006","predation","spp","phenovalue",154,"spp1","Orthotomicus caelatus"
74,1996,"HMK006","predation","spp","phenovalue",139,"spp1","Orthotomicus caelatus"
74,1997,"HMK006","predation","spp","phenovalue",154,"spp1","Orthotomicus caelatus"
75,1996,"HMK006","predation","spp","phenovalue",139,"spp1","Orthotomicus caelatus"
75,1997,"HMK006","predation","spp","phenovalue",154,"spp1","Orthotomicus caelatus"
76,1996,"HMK006","predation","spp","phenovalue",118.5,"spp1","Pissodes approximatus"
76,1997,"HMK006","predation","spp","phenovalue",94,"spp1","Pissodes approximatus"
77,1996,"HMK006","predation","spp","phenovalue",118.5,"spp1","Pissodes approximatus"
77,1997,"HMK006","predation","spp","phenovalue",94,"spp1","Pissodes approximatus"
78,1996,"HMK006","predation","spp","phenovalue",118.5,"spp1","Pissodes approximatus"
78,1997,"HMK006","predation","spp","phenovalue",94,"spp1","Pissodes approximatus"
79,1996,"HMK006","predation","spp","phenovalue",118.5,"spp1","Pissodes approximatus"
79,1997,"HMK006","predation","spp","phenovalue",94,"spp1","Pissodes approximatus"
80,1996,"HMK006","predation","spp","phenovalue",118.5,"spp1","Pissodes approximatus"
80,1997,"HMK006","predation","spp","phenovalue",94,"spp1","Pissodes approximatus"
81,1996,"HMK006","predation","spp","phenovalue",118.5,"spp1","Pissodes approximatus"
81,1997,"HMK006","predation","spp","phenovalue",94,"spp1","Pissodes approximatus"
82,1996,"HMK006","predation","spp","phenovalue",88.5,"spp1","Tomicus piniperda"
82,1997,"HMK006","predation","spp","phenovalue",80.5,"spp1","Tomicus piniperda"
83,1996,"HMK006","predation","spp","phenovalue",88.5,"spp1","Tomicus piniperda"
83,1997,"HMK006","predation","spp","phenovalue",80.5,"spp1","Tomicus piniperda"
84,1996,"HMK006","predation","spp","phenovalue",88.5,"spp1","Tomicus piniperda"
84,1997,"HMK006","predation","spp","phenovalue",80.5,"spp1","Tomicus piniperda"
85,1996,"HMK006","predation","spp","phenovalue",88.5,"spp1","Tomicus piniperda"
85,1997,"HMK006","predation","spp","phenovalue",80.5,"spp1","Tomicus piniperda"
86,1996,"HMK006","predation","spp","phenovalue",88.5,"spp1","Tomicus piniperda"
86,1997,"HMK006","predation","spp","phenovalue",80.5,"spp1","Tomicus piniperda"
87,1996,"HMK006","predation","spp","phenovalue",88.5,"spp1","Tomicus piniperda"
87,1997,"HMK006","predation","spp","phenovalue",80.5,"spp1","Tomicus piniperda"
88,1996,"HMK006","competition","spp","phenovalue",139.5,"spp1","Dendroctonus valens"
88,1997,"HMK006","competition","spp","phenovalue",150,"spp1","Dendroctonus valens"
89,1996,"HMK006","competition","spp","phenovalue",139.5,"spp1","Dendroctonus valens"
89,1997,"HMK006","competition","spp","phenovalue",150,"spp1","Dendroctonus valens"
90,1996,"HMK006","competition","spp","phenovalue",139.5,"spp1","Dendroctonus valens"
90,1997,"HMK006","competition","spp","phenovalue",150,"spp1","Dendroctonus valens"
91,1996,"HMK006","competition","spp","phenovalue",139.5,"spp1","Dendroctonus valens"
91,1997,"HMK006","competition","spp","phenovalue",150,"spp1","Dendroctonus valens"
92,1996,"HMK006","competition","spp","phenovalue",139.5,"spp1","Dendroctonus valens"
92,1997,"HMK006","competition","spp","phenovalue",150,"spp1","Dendroctonus valens"
93,1996,"HMK006","competition","spp","phenovalue",139.5,"spp1","Dendroctonus valens"
93,1997,"HMK006","competition","spp","phenovalue",150,"spp1","Dendroctonus valens"
94,1996,"HMK006","competition","spp","phenovalue",139.5,"spp1","Dendroctonus valens"
94,1997,"HMK006","competition","spp","phenovalue",150,"spp1","Dendroctonus valens"
95,1996,"HMK006","competition","spp","phenovalue",139.5,"spp1","Dendroctonus valens"
95,1997,"HMK006","competition","spp","phenovalue",150,"spp1","Dendroctonus valens"
96,1996,"HMK006","competition","spp","phenovalue",139.5,"spp1","Dendroctonus valens"
96,1997,"HMK006","competition","spp","phenovalue",150,"spp1","Dendroctonus valens"
97,1996,"HMK006","competition","spp","phenovalue",139.5,"spp1","Dendroctonus valens"
97,1997,"HMK006","competition","spp","phenovalue",150,"spp1","Dendroctonus valens"
98,1996,"HMK006","competition","spp","phenovalue",140,"spp1","Dryocetes autographus"
98,1997,"HMK006","competition","spp","phenovalue",156,"spp1","Dryocetes autographus"
99,1996,"HMK006","competition","spp","phenovalue",140,"spp1","Dryocetes autographus"
99,1997,"HMK006","competition","spp","phenovalue",156,"spp1","Dryocetes autographus"
143,1983,"HMK007","competition","spp","phenovalue",133,"spp1","Saxifraga reflexa"
143,1985,"HMK007","competition","spp","phenovalue",144,"spp1","Saxifraga reflexa"
143,1986,"HMK007","competition","spp","phenovalue",142,"spp1","Saxifraga reflexa"
144,1984,"HMK008","pollination","spp","phenovalue",105.7056,"spp1","Castilleja tenuiflora"
144,1985,"HMK008","pollination","spp","phenovalue",124.386,"spp1","Castilleja tenuiflora"
144,1986,"HMK008","pollination","spp","phenovalue",81.53372,"spp1","Castilleja tenuiflora"
144,1987,"HMK008","pollination","spp","phenovalue",110.7054,"spp1","Castilleja tenuiflora"
144,1988,"HMK008","pollination","spp","phenovalue",109.9014,"spp1","Castilleja tenuiflora"
144,1989,"HMK008","pollination","spp","phenovalue",125.3521,"spp1","Castilleja tenuiflora"
144,1991,"HMK008","pollination","spp","phenovalue",110.7233,"spp1","Castilleja tenuiflora"
144,1992,"HMK008","pollination","spp","phenovalue",116.1188,"spp1","Castilleja tenuiflora"
144,1993,"HMK008","pollination","spp","phenovalue",117.1447,"spp1","Castilleja tenuiflora"
144,1994,"HMK008","pollination","spp","phenovalue",87.76914,"spp1","Castilleja tenuiflora"
144,1995,"HMK008","pollination","spp","phenovalue",97.9382,"spp1","Castilleja tenuiflora"
144,1997,"HMK008","pollination","spp","phenovalue",130.9093,"spp1","Castilleja tenuiflora"
144,1999,"HMK008","pollination","spp","phenovalue",143.1043,"spp1","Castilleja tenuiflora"
144,2001,"HMK008","pollination","spp","phenovalue",124.7273,"spp1","Castilleja tenuiflora"
144,2003,"HMK008","pollination","spp","phenovalue",102.1519,"spp1","Castilleja tenuiflora"
144,2007,"HMK008","pollination","spp","phenovalue",114.1644,"spp1","Castilleja tenuiflora"
144,2008,"HMK008","pollination","spp","phenovalue",106.7565,"spp1","Castilleja tenuiflora"
144,2009,"HMK008","pollination","spp","phenovalue",111.4213,"spp1","Castilleja tenuiflora"
144,2010,"HMK008","pollination","spp","phenovalue",109.1358,"spp1","Castilleja tenuiflora"
145,1975,"HMK008","pollination","spp","phenovalue",170.8556,"spp1","Delphinium nuttallianum"
145,1979,"HMK008","pollination","spp","phenovalue",163.5027,"spp1","Delphinium nuttallianum"
145,1980,"HMK008","pollination","spp","phenovalue",166.0428,"spp1","Delphinium nuttallianum"
145,1981,"HMK008","pollination","spp","phenovalue",151.8075,"spp1","Delphinium nuttallianum"
145,1982,"HMK008","pollination","spp","phenovalue",159.2941,"spp1","Delphinium nuttallianum"
145,1983,"HMK008","pollination","spp","phenovalue",170.9893,"spp1","Delphinium nuttallianum"
145,1984,"HMK008","pollination","spp","phenovalue",169.385,"spp1","Delphinium nuttallianum"
145,1985,"HMK008","pollination","spp","phenovalue",155.8182,"spp1","Delphinium nuttallianum"
145,1986,"HMK008","pollination","spp","phenovalue",151.8075,"spp1","Delphinium nuttallianum"
145,1987,"HMK008","pollination","spp","phenovalue",152.8075,"spp1","Delphinium nuttallianum"
145,1988,"HMK008","pollination","spp","phenovalue",151.738,"spp1","Delphinium nuttallianum"
145,1989,"HMK008","pollination","spp","phenovalue",148.4652,"spp1","Delphinium nuttallianum"
145,1991,"HMK008","pollination","spp","phenovalue",160.8289,"spp1","Delphinium nuttallianum"
145,1993,"HMK008","pollination","spp","phenovalue",169.5882,"spp1","Delphinium nuttallianum"
145,1995,"HMK008","pollination","spp","phenovalue",177.0053,"spp1","Delphinium nuttallianum"
145,1996,"HMK008","pollination","spp","phenovalue",155.8824,"spp1","Delphinium nuttallianum"
145,1997,"HMK008","pollination","spp","phenovalue",153.6791,"spp1","Delphinium nuttallianum"
145,1998,"HMK008","pollination","spp","phenovalue",146.3262,"spp1","Delphinium nuttallianum"
145,1999,"HMK008","pollination","spp","phenovalue",160.0267,"spp1","Delphinium nuttallianum"
145,2000,"HMK008","pollination","spp","phenovalue",150,"spp1","Delphinium nuttallianum"
145,2001,"HMK008","pollination","spp","phenovalue",152.3422,"spp1","Delphinium nuttallianum"
145,2002,"HMK008","pollination","spp","phenovalue",137.5027,"spp1","Delphinium nuttallianum"
145,2003,"HMK008","pollination","spp","phenovalue",150,"spp1","Delphinium nuttallianum"
145,2004,"HMK008","pollination","spp","phenovalue",136.9679,"spp1","Delphinium nuttallianum"
145,2005,"HMK008","pollination","spp","phenovalue",149.8021,"spp1","Delphinium nuttallianum"
145,2006,"HMK008","pollination","spp","phenovalue",141.5134,"spp1","Delphinium nuttallianum"
145,2007,"HMK008","pollination","spp","phenovalue",138.5027,"spp1","Delphinium nuttallianum"
145,2008,"HMK008","pollination","spp","phenovalue",163.9037,"spp1","Delphinium nuttallianum"
145,2009,"HMK008","pollination","spp","phenovalue",147.3957,"spp1","Delphinium nuttallianum"
145,2010,"HMK008","pollination","spp","phenovalue",150.4706,"spp1","Delphinium nuttallianum"
146,1975,"HMK008","pollination","spp","phenovalue",159.6556,"spp1","Erythronium grandiflorum"
146,1979,"HMK008","pollination","spp","phenovalue",157.6076,"spp1","Erythronium grandiflorum"
146,1980,"HMK008","pollination","spp","phenovalue",160.4089,"spp1","Erythronium grandiflorum"
146,1981,"HMK008","pollination","spp","phenovalue",139.7202,"spp1","Erythronium grandiflorum"
146,1983,"HMK008","pollination","spp","phenovalue",161.5833,"spp1","Erythronium grandiflorum"
146,1984,"HMK008","pollination","spp","phenovalue",161.1712,"spp1","Erythronium grandiflorum"
146,1986,"HMK008","pollination","spp","phenovalue",149.8429,"spp1","Erythronium grandiflorum"
146,1987,"HMK008","pollination","spp","phenovalue",135.0378,"spp1","Erythronium grandiflorum"
146,1988,"HMK008","pollination","spp","phenovalue",141.1858,"spp1","Erythronium grandiflorum"
146,1989,"HMK008","pollination","spp","phenovalue",139.9067,"spp1","Erythronium grandiflorum"
146,1991,"HMK008","pollination","spp","phenovalue",150.7944,"spp1","Erythronium grandiflorum"
146,1993,"HMK008","pollination","spp","phenovalue",157.8061,"spp1","Erythronium grandiflorum"
146,1995,"HMK008","pollination","spp","phenovalue",169.6281,"spp1","Erythronium grandiflorum"
146,1996,"HMK008","pollination","spp","phenovalue",145.7895,"spp1","Erythronium grandiflorum"
146,1997,"HMK008","pollination","spp","phenovalue",151.3391,"spp1","Erythronium grandiflorum"
146,1998,"HMK008","pollination","spp","phenovalue",141.8244,"spp1","Erythronium grandiflorum"
146,1999,"HMK008","pollination","spp","phenovalue",149.7765,"spp1","Erythronium grandiflorum"
