,studyid,intid,int_type,spp,year,species,phenovalue,phenofreq,short_site,terrestrial
572,HMK008,146,poll,spp1,1986,Erythronium grandiflorum,149.8429,daily,arizona,terrestrial
573,HMK008,146,poll,spp1,1987,Erythronium grandiflorum,135.0378,daily,arizona,terrestrial
574,HMK008,146,poll,spp1,1988,Erythronium grandiflorum,141.1858,daily,arizona,terrestrial
575,HMK008,146,poll,spp1,1989,Erythronium grandiflorum,139.9067,daily,arizona,terrestrial
576,HMK008,146,poll,spp1,1991,Erythronium grandiflorum,150.7944,daily,arizona,terrestrial
577,HMK008,146,poll,spp1,1993,Erythronium grandiflorum,157.8061,daily,arizona,terrestrial
578,HMK008,146,poll,spp1,1995,Erythronium grandiflorum,169.6281,daily,arizona,terrestrial
579,HMK008,146,poll,spp1,1996,Erythronium grandiflorum,145.7895,daily,arizona,terrestrial
580,HMK008,146,poll,spp1,1997,Erythronium grandiflorum,151.3391,daily,arizona,terrestrial
581,HMK008,146,poll,spp1,1998,Erythronium grandiflorum,141.8244,daily,arizona,terrestrial
582,HMK008,146,poll,spp1,1999,Erythronium grandiflorum,149.7765,daily,arizona,terrestrial
583,HMK008,146,poll,spp1,2000,Erythronium grandiflorum,141.3323,daily,arizona,terrestrial
584,HMK008,146,poll,spp1,2001,Erythronium grandiflorum,139.786,daily,arizona,terrestrial
585,HMK008,146,poll,spp1,2002,Erythronium grandiflorum,124.6497,daily,arizona,terrestrial
586,HMK008,146,poll,spp1,2003,Erythronium grandiflorum,143.712,daily,arizona,terrestrial
587,HMK008,146,poll,spp1,2004,Erythronium grandiflorum,135.2674,daily,arizona,terrestrial
588,HMK008,146,poll,spp1,2005,Erythronium grandiflorum,145.1012,daily,arizona,terrestrial
589,HMK008,146,poll,spp1,2006,Erythronium grandiflorum,134.6481,daily,arizona,terrestrial
590,HMK008,146,poll,spp1,2008,Erythronium grandiflorum,155.1748,daily,arizona,terrestrial
591,HMK008,146,poll,spp1,2009,Erythronium grandiflorum,136.2264,daily,arizona,terrestrial
592,HMK008,146,poll,spp1,2010,Erythronium grandiflorum,138.0888,daily,arizona,terrestrial
593,HMK008,146,poll,spp1,2011,Erythronium grandiflorum,155.3492,daily,arizona,terrestrial
594,HMK008,144,poll,spp2,1984,Selasphorus platycercus,105.56655,daily,arizona,terrestrial
595,HMK008,144,poll,spp2,1985,Selasphorus platycercus,111.87816,daily,arizona,terrestrial
596,HMK008,144,poll,spp2,1986,Selasphorus platycercus,117.4038,daily,arizona,terrestrial
597,HMK008,144,poll,spp2,1987,Selasphorus platycercus,104.1018,daily,arizona,terrestrial
598,HMK008,144,poll,spp2,1988,Selasphorus platycercus,137.2863,daily,arizona,terrestrial
599,HMK008,144,poll,spp2,1989,Selasphorus platycercus,124.44905,daily,arizona,terrestrial
600,HMK008,144,poll,spp2,1991,Selasphorus platycercus,118.3513,daily,arizona,terrestrial
601,HMK008,144,poll,spp2,1992,Selasphorus platycercus,117.2051,daily,arizona,terrestrial
602,HMK008,144,poll,spp2,1993,Selasphorus platycercus,125.48115,daily,arizona,terrestrial
603,HMK008,144,poll,spp2,1994,Selasphorus platycercus,120.24725,daily,arizona,terrestrial
604,HMK008,144,poll,spp2,1995,Selasphorus platycercus,122.9208,daily,arizona,terrestrial
605,HMK008,144,poll,spp2,1997,Selasphorus platycercus,114.09895,daily,arizona,terrestrial
606,HMK008,144,poll,spp2,1999,Selasphorus platycercus,134.1332,daily,arizona,terrestrial
607,HMK008,144,poll,spp2,2001,Selasphorus platycercus,95.23505,daily,arizona,terrestrial
608,HMK008,144,poll,spp2,2003,Selasphorus platycercus,126.27915,daily,arizona,terrestrial
609,HMK008,144,poll,spp2,2007,Selasphorus platycercus,111.7822,daily,arizona,terrestrial
610,HMK008,144,poll,spp2,2008,Selasphorus platycercus,122.6224,daily,arizona,terrestrial
611,HMK008,144,poll,spp2,2009,Selasphorus platycercus,107.19982,daily,arizona,terrestrial
612,HMK008,144,poll,spp2,2010,Selasphorus platycercus,119.7149,daily,arizona,terrestrial
613,HMK008,145,poll,spp2,1975,Selasphorus platycercus,135.0237,daily,arizona,terrestrial
614,HMK008,145,poll,spp2,1979,Selasphorus platycercus,136.4563,daily,arizona,terrestrial
615,HMK008,145,poll,spp2,1980,Selasphorus platycercus,138.321,daily,arizona,terrestrial
616,HMK008,145,poll,spp2,1981,Selasphorus platycercus,133.4288,daily,arizona,terrestrial
617,HMK008,145,poll,spp2,1982,Selasphorus platycercus,135.0248,daily,arizona,terrestrial
618,HMK008,145,poll,spp2,1983,Selasphorus platycercus,147.6623,daily,arizona,terrestrial
619,HMK008,145,poll,spp2,1984,Selasphorus platycercus,105.56655,daily,arizona,terrestrial
620,HMK008,145,poll,spp2,1985,Selasphorus platycercus,111.87816,daily,arizona,terrestrial
621,HMK008,145,poll,spp2,1986,Selasphorus platycercus,117.4038,daily,arizona,terrestrial
622,HMK008,145,poll,spp2,1987,Selasphorus platycercus,104.1018,daily,arizona,terrestrial
623,HMK008,145,poll,spp2,1988,Selasphorus platycercus,137.2863,daily,arizona,terrestrial
624,HMK008,145,poll,spp2,1989,Selasphorus platycercus,124.44905,daily,arizona,terrestrial
625,HMK008,145,poll,spp2,1991,Selasphorus platycercus,118.3513,daily,arizona,terrestrial
626,HMK008,145,poll,spp2,1993,Selasphorus platycercus,125.48115,daily,arizona,terrestrial
627,HMK008,145,poll,spp2,1995,Selasphorus platycercus,122.9208,daily,arizona,terrestrial
628,HMK008,145,poll,spp2,1996,Selasphorus platycercus,139.1117,daily,arizona,terrestrial
629,HMK008,145,poll,spp2,1997,Selasphorus platycercus,114.09895,daily,arizona,terrestrial
630,HMK008,145,poll,spp2,1998,Selasphorus platycercus,134.0889,daily,arizona,terrestrial
631,HMK008,145,poll,spp2,1999,Selasphorus platycercus,134.1332,daily,arizona,terrestrial
632,HMK008,145,poll,spp2,2000,Selasphorus platycercus,116.26345,daily,arizona,terrestrial
633,HMK008,145,poll,spp2,2001,Selasphorus platycercus,95.23505,daily,arizona,terrestrial
634,HMK008,145,poll,spp2,2002,Selasphorus platycercus,125.7198,daily,arizona,terrestrial
635,HMK008,145,poll,spp2,2003,Selasphorus platycercus,126.27915,daily,arizona,terrestrial
636,HMK008,145,poll,spp2,2004,Selasphorus platycercus,124.6918,daily,arizona,terrestrial
637,HMK008,145,poll,spp2,2005,Selasphorus platycercus,129.1695,daily,arizona,terrestrial
638,HMK008,145,poll,spp2,2006,Selasphorus platycercus,136.8343,daily,arizona,terrestrial
639,HMK008,145,poll,spp2,2007,Selasphorus platycercus,111.7822,daily,arizona,terrestrial
640,HMK008,145,poll,spp2,2008,Selasphorus platycercus,122.6224,daily,arizona,terrestrial
641,HMK008,145,poll,spp2,2009,Selasphorus platycercus,107.19982,daily,arizona,terrestrial
642,HMK008,145,poll,spp2,2010,Selasphorus platycercus,119.7149,daily,arizona,terrestrial
643,HMK008,146,poll,spp2,1975,Selasphorus platycercus,135.0237,daily,arizona,terrestrial
644,HMK008,146,poll,spp2,1979,Selasphorus platycercus,136.4563,daily,arizona,terrestrial
645,HMK008,146,poll,spp2,1980,Selasphorus platycercus,138.321,daily,arizona,terrestrial
646,HMK008,146,poll,spp2,1981,Selasphorus platycercus,133.4288,daily,arizona,terrestrial
647,HMK008,146,poll,spp2,1983,Selasphorus platycercus,147.6623,daily,arizona,terrestrial
648,HMK008,146,poll,spp2,1984,Selasphorus platycercus,105.56655,daily,arizona,terrestrial
649,HMK008,146,poll,spp2,1986,Selasphorus platycercus,117.4038,daily,arizona,terrestrial
650,HMK008,146,poll,spp2,1987,Selasphorus platycercus,104.1018,daily,arizona,terrestrial
651,HMK008,146,poll,spp2,1988,Selasphorus platycercus,137.2863,daily,arizona,terrestrial
652,HMK008,146,poll,spp2,1989,Selasphorus platycercus,124.44905,daily,arizona,terrestrial
653,HMK008,146,poll,spp2,1991,Selasphorus platycercus,118.3513,daily,arizona,terrestrial
654,HMK008,146,poll,spp2,1993,Selasphorus platycercus,125.48115,daily,arizona,terrestrial
655,HMK008,146,poll,spp2,1995,Selasphorus platycercus,122.9208,daily,arizona,terrestrial
656,HMK008,146,poll,spp2,1996,Selasphorus platycercus,139.1117,daily,arizona,terrestrial
657,HMK008,146,poll,spp2,1997,Selasphorus platycercus,114.09895,daily,arizona,terrestrial
658,HMK008,146,poll,spp2,1998,Selasphorus platycercus,134.0889,daily,arizona,terrestrial
659,HMK008,146,poll,spp2,1999,Selasphorus platycercus,134.1332,daily,arizona,terrestrial
660,HMK008,146,poll,spp2,2000,Selasphorus platycercus,116.26345,daily,arizona,terrestrial
661,HMK008,146,poll,spp2,2001,Selasphorus platycercus,95.23505,daily,arizona,terrestrial
662,HMK008,146,poll,spp2,2002,Selasphorus platycercus,125.7198,daily,arizona,terrestrial
663,HMK008,146,poll,spp2,2003,Selasphorus platycercus,126.27915,daily,arizona,terrestrial
664,HMK008,146,poll,spp2,2004,Selasphorus platycercus,124.6918,daily,arizona,terrestrial
665,HMK008,146,poll,spp2,2005,Selasphorus platycercus,129.1695,daily,arizona,terrestrial
666,HMK008,146,poll,spp2,2006,Selasphorus platycercus,136.8343,daily,arizona,terrestrial
667,HMK008,146,poll,spp2,2008,Selasphorus platycercus,122.6224,daily,arizona,terrestrial
668,HMK008,146,poll,spp2,2009,Selasphorus platycercus,107.19982,daily,arizona,terrestrial
669,HMK008,146,poll,spp2,2010,Selasphorus platycercus,119.7149,daily,arizona,terrestrial
670,HMK008,146,poll,spp2,2011,Selasphorus platycercus,140.2216,daily,arizona,terrestrial
695,HMK011,155,herbivory,spp1,1996,Epirrita autumnata,180.4596,daily,finland,terrestrial
696,HMK011,155,herbivory,spp1,1997,Epirrita autumnata,192.649,daily,finland,terrestrial
697,HMK011,155,herbivory,spp1,1998,Epirrita autumnata,178.8317,daily,finland,terrestrial
698,HMK011,155,herbivory,spp1,1999,Epirrita autumnata,169.9526,daily,finland,terrestrial
699,HMK011,155,herbivory,spp1,2000,Epirrita autumnata,166.9974,daily,finland,terrestrial
700,HMK011,155,herbivory,spp1,2001,Epirrita autumnata,182.1512,daily,finland,terrestrial
701,HMK011,155,herbivory,spp1,2002,Epirrita autumnata,165.3688,daily,finland,terrestrial
702,HMK011,155,herbivory,spp1,2003,Epirrita autumnata,170.6461,daily,finland,terrestrial
703,HMK011,155,herbivory,spp1,2004,Epirrita autumnata,162.4261,daily,finland,terrestrial
704,HMK011,155,herbivory,spp1,2005,Epirrita autumnata,176.9202,daily,finland,terrestrial
705,HMK011,155,herbivory,spp1,2006,Epirrita autumnata,168.3689,daily,finland,terrestrial
706,HMK011,155,herbivory,spp1,2007,Epirrita autumnata,167.391,daily,finland,terrestrial
707,HMK011,155,herbivory,spp1,2008,Epirrita autumnata,172.6669,daily,finland,terrestrial
708,HMK011,155,herbivory,spp1,2009,Epirrita autumnata,170.7021,daily,finland,terrestrial
709,HMK011,155,herbivory,spp2,1996,Poecile montanus,130.7477,daily,finland,terrestrial
710,HMK011,155,herbivory,spp2,1997,Poecile montanus,139.6457,daily,finland,terrestrial
711,HMK011,155,herbivory,spp2,1998,Poecile montanus,135.3756,daily,finland,terrestrial
712,HMK011,155,herbivory,spp2,1999,Poecile montanus,130.4458,daily,finland,terrestrial
713,HMK011,155,herbivory,spp2,2000,Poecile montanus,132.758,daily,finland,terrestrial
714,HMK011,155,herbivory,spp2,2001,Poecile montanus,133.1005,daily,finland,terrestrial
715,HMK011,155,herbivory,spp2,2002,Poecile montanus,127.8414,daily,finland,terrestrial
716,HMK011,155,herbivory,spp2,2003,Poecile montanus,136.0817,daily,finland,terrestrial
717,HMK011,155,herbivory,spp2,2004,Poecile montanus,129.8321,daily,finland,terrestrial
718,HMK011,155,herbivory,spp2,2005,Poecile montanus,131.4894,daily,finland,terrestrial
719,HMK011,155,herbivory,spp2,2006,Poecile montanus,129.8518,daily,finland,terrestrial
720,HMK011,155,herbivory,spp2,2007,Poecile montanus,131.5084,daily,finland,terrestrial
721,HMK011,155,herbivory,spp2,2008,Poecile montanus,130.859,daily,finland,terrestrial
722,HMK011,155,herbivory,spp2,2009,Poecile montanus,133.5005,daily,finland,terrestrial
747,HMK016,165,predation,spp1,1993,Engraulis japonicus,165.259,daily,japansea,aquatic
748,HMK016,165,predation,spp1,1995,Engraulis japonicus,171.541,daily,japansea,aquatic
749,HMK016,165,predation,spp1,1996,Engraulis japonicus,180.839,daily,japansea,aquatic
750,HMK016,165,predation,spp1,1997,Engraulis japonicus,214.747,daily,japansea,aquatic
751,HMK016,165,predation,spp1,1998,Engraulis japonicus,136.361,daily,japansea,aquatic
752,HMK016,165,predation,spp1,1999,Engraulis japonicus,157.962,daily,japansea,aquatic
753,HMK016,165,predation,spp1,2000,Engraulis japonicus,162.641,daily,japansea,aquatic
754,HMK016,165,predation,spp1,2001,Engraulis japonicus,145.798,daily,japansea,aquatic
755,HMK016,165,predation,spp1,2002,Engraulis japonicus,110.476,daily,japansea,aquatic
756,HMK016,165,predation,spp1,2005,Engraulis japonicus,169.134,daily,japansea,aquatic
757,HMK016,165,predation,spp1,2006,Engraulis japonicus,175.361,daily,japansea,aquatic
758,HMK016,165,predation,spp2,1993,Cerorhinca monocerata,143.258,daily,japansea,aquatic
759,HMK016,165,predation,spp2,1995,Cerorhinca monocerata,139.568,daily,japansea,aquatic
760,HMK016,165,predation,spp2,1996,Cerorhinca monocerata,147.521,daily,japansea,aquatic
761,HMK016,165,predation,spp2,1997,Cerorhinca monocerata,153.142,daily,japansea,aquatic
762,HMK016,165,predation,spp2,1998,Cerorhinca monocerata,145.695,daily,japansea,aquatic
763,HMK016,165,predation,spp2,1999,Cerorhinca monocerata,155.515,daily,japansea,aquatic
764,HMK016,165,predation,spp2,2000,Cerorhinca monocerata,149.935,daily,japansea,aquatic
765,HMK016,165,predation,spp2,2001,Cerorhinca monocerata,156.489,daily,japansea,aquatic
766,HMK016,165,predation,spp2,2002,Cerorhinca monocerata,136.909,daily,japansea,aquatic
767,HMK016,165,predation,spp2,2005,Cerorhinca monocerata,149.105,daily,japansea,aquatic
768,HMK016,165,predation,spp2,2006,Cerorhinca monocerata,153.321,daily,japansea,aquatic
769,HMK018,167,competition,spp1,1997,Pygoscelis adeliae,303,daily,antarctica,terrestrial
770,HMK018,167,competition,spp1,1998,Pygoscelis adeliae,303,daily,antarctica,terrestrial
771,HMK018,167,competition,spp1,1999,Pygoscelis adeliae,305,daily,antarctica,terrestrial
772,HMK018,167,competition,spp1,2000,Pygoscelis adeliae,304,daily,antarctica,terrestrial
773,HMK018,167,competition,spp1,2001,Pygoscelis adeliae,300,daily,antarctica,terrestrial
774,HMK018,167,competition,spp1,2002,Pygoscelis adeliae,308,daily,antarctica,terrestrial
775,HMK018,167,competition,spp1,2003,Pygoscelis adeliae,304,daily,antarctica,terrestrial
776,HMK018,167,competition,spp1,2004,Pygoscelis adeliae,302,daily,antarctica,terrestrial
777,HMK018,167,competition,spp1,2005,Pygoscelis adeliae,309.5,daily,antarctica,terrestrial
778,HMK018,167,competition,spp1,2006,Pygoscelis adeliae,310,daily,antarctica,terrestrial
779,HMK018,168,competition,spp1,1991,Pygoscelis adeliae,309,daily,antarctica,terrestrial
780,HMK018,168,competition,spp1,1992,Pygoscelis adeliae,307,daily,antarctica,terrestrial
781,HMK018,168,competition,spp1,1993,Pygoscelis adeliae,301,daily,antarctica,terrestrial
782,HMK018,168,competition,spp1,1994,Pygoscelis adeliae,311,daily,antarctica,terrestrial
783,HMK018,168,competition,spp1,1995,Pygoscelis adeliae,303,daily,antarctica,terrestrial
784,HMK018,168,competition,spp1,1996,Pygoscelis adeliae,303,daily,antarctica,terrestrial
785,HMK018,168,competition,spp1,1997,Pygoscelis adeliae,303,daily,antarctica,terrestrial
786,HMK018,168,competition,spp1,1998,Pygoscelis adeliae,303,daily,antarctica,terrestrial
787,HMK018,168,competition,spp1,1999,Pygoscelis adeliae,305,daily,antarctica,terrestrial
788,HMK018,168,competition,spp1,2000,Pygoscelis adeliae,304,daily,antarctica,terrestrial
789,HMK018,168,competition,spp1,2001,Pygoscelis adeliae,300,daily,antarctica,terrestrial
790,HMK018,168,competition,spp1,2002,Pygoscelis adeliae,308,daily,antarctica,terrestrial
791,HMK018,168,competition,spp1,2003,Pygoscelis adeliae,304,daily,antarctica,terrestrial
792,HMK018,168,competition,spp1,2004,Pygoscelis adeliae,302,daily,antarctica,terrestrial
793,HMK018,168,competition,spp1,2005,Pygoscelis adeliae,309.5,daily,antarctica,terrestrial
794,HMK018,168,competition,spp1,2006,Pygoscelis adeliae,310,daily,antarctica,terrestrial
795,HMK018,168,competition,spp1,2007,Pygoscelis adeliae,318,daily,antarctica,terrestrial
796,HMK018,169,competition,spp1,1997,Pygoscelis antarcticus,329,daily,antarctica,terrestrial
797,HMK018,169,competition,spp1,1998,Pygoscelis antarcticus,325,daily,antarctica,terrestrial
798,HMK018,169,competition,spp1,1999,Pygoscelis antarcticus,324,daily,antarctica,terrestrial
799,HMK018,169,competition,spp1,2000,Pygoscelis antarcticus,325,daily,antarctica,terrestrial
800,HMK018,169,competition,spp1,2001,Pygoscelis antarcticus,324,daily,antarctica,terrestrial
801,HMK018,169,competition,spp1,2002,Pygoscelis antarcticus,329,daily,antarctica,terrestrial
802,HMK018,169,competition,spp1,2003,Pygoscelis antarcticus,326,daily,antarctica,terrestrial
803,HMK018,169,competition,spp1,2004,Pygoscelis antarcticus,329,daily,antarctica,terrestrial
804,HMK018,169,competition,spp1,2005,Pygoscelis antarcticus,323,daily,antarctica,terrestrial
805,HMK018,169,competition,spp1,2006,Pygoscelis antarcticus,321,daily,antarctica,terrestrial
806,HMK018,167,competition,spp2,1997,Pygoscelis antarcticus,329,daily,antarctica,terrestrial
807,HMK018,167,competition,spp2,1998,Pygoscelis antarcticus,325,daily,antarctica,terrestrial
808,HMK018,167,competition,spp2,1999,Pygoscelis antarcticus,324,daily,antarctica,terrestrial
809,HMK018,167,competition,spp2,2000,Pygoscelis antarcticus,325,daily,antarctica,terrestrial
810,HMK018,167,competition,spp2,2001,Pygoscelis antarcticus,324,daily,antarctica,terrestrial
811,HMK018,167,competition,spp2,2002,Pygoscelis antarcticus,329,daily,antarctica,terrestrial
812,HMK018,167,competition,spp2,2003,Pygoscelis antarcticus,326,daily,antarctica,terrestrial
813,HMK018,167,competition,spp2,2004,Pygoscelis antarcticus,329,daily,antarctica,terrestrial
814,HMK018,167,competition,spp2,2005,Pygoscelis antarcticus,323,daily,antarctica,terrestrial
815,HMK018,167,competition,spp2,2006,Pygoscelis antarcticus,321,daily,antarctica,terrestrial
816,HMK018,168,competition,spp2,1991,Pygoscelis papua,320,daily,antarctica,terrestrial
817,HMK018,168,competition,spp2,1992,Pygoscelis papua,316,daily,antarctica,terrestrial
818,HMK018,168,competition,spp2,1993,Pygoscelis papua,308,daily,antarctica,terrestrial
819,HMK018,168,competition,spp2,1994,Pygoscelis papua,321,daily,antarctica,terrestrial
820,HMK018,168,competition,spp2,1995,Pygoscelis papua,304,daily,antarctica,terrestrial
821,HMK018,168,competition,spp2,1996,Pygoscelis papua,309,daily,antarctica,terrestrial
822,HMK018,168,competition,spp2,1997,Pygoscelis papua,308,daily,antarctica,terrestrial
823,HMK018,168,competition,spp2,1998,Pygoscelis papua,316,daily,antarctica,terrestrial
824,HMK018,168,competition,spp2,1999,Pygoscelis papua,314.5,daily,antarctica,terrestrial
825,HMK018,168,competition,spp2,2000,Pygoscelis papua,314.5,daily,antarctica,terrestrial
826,HMK018,168,competition,spp2,2001,Pygoscelis papua,306,daily,antarctica,terrestrial
827,HMK018,168,competition,spp2,2002,Pygoscelis papua,323.5,daily,antarctica,terrestrial
828,HMK018,168,competition,spp2,2003,Pygoscelis papua,317.5,daily,antarctica,terrestrial
829,HMK018,168,competition,spp2,2004,Pygoscelis papua,316,daily,antarctica,terrestrial
830,HMK018,168,competition,spp2,2005,Pygoscelis papua,313.5,daily,antarctica,terrestrial
831,HMK018,168,competition,spp2,2006,Pygoscelis papua,308,daily,antarctica,terrestrial
