studyid,intid,X,year,spp1,spp2,interaction,taxatype,neg_phenovalue,neg_slope,pos_phenovalue,pos_slope,phenodiff,phenofreq,intxn,length,minyear
HMK006,24,22,1996,Dendroctonus valens,Thanasimus dubius,predation,spp,139.5,10.5,137,-4,2.5,weekly,Dendroctonus valens Thanasimus dubius predation,2,1996
HMK006,24,23,1997,Dendroctonus valens,Thanasimus dubius,predation,spp,150,10.5,133,-4,17,weekly,Dendroctonus valens Thanasimus dubius predation,2,1996
HMK006,25,24,1996,Dendroctonus valens,Platysoma cylindrica,predation,spp,139.5,10.5,139,15,0.5,weekly,Dendroctonus valens Platysoma cylindrica predation,2,1996
HMK006,25,25,1997,Dendroctonus valens,Platysoma cylindrica,predation,spp,150,10.5,154,15,-4,weekly,Dendroctonus valens Platysoma cylindrica predation,2,1996
HMK006,26,26,1996,Dendroctonus valens,Platysoma parallelum,predation,spp,139.5,10.5,138,18,1.5,weekly,Dendroctonus valens Platysoma parallelum predation,2,1996
HMK006,26,27,1997,Dendroctonus valens,Platysoma parallelum,predation,spp,150,10.5,156,18,-6,weekly,Dendroctonus valens Platysoma parallelum predation,2,1996
HMK006,27,28,1996,Dendroctonus valens,Cucujus clavipes,predation,spp,139.5,10.5,103,61,36.5,weekly,Dendroctonus valens Cucujus clavipes predation,2,1996
HMK006,27,29,1997,Dendroctonus valens,Cucujus clavipes,predation,spp,150,10.5,164,61,-14,weekly,Dendroctonus valens Cucujus clavipes predation,2,1996
HMK006,28,30,1996,Dryocetes autographus,Corticeus parallelus,predation,spp,140,16,103,51,37,weekly,Dryocetes autographus Corticeus parallelus predation,2,1996
HMK006,28,31,1997,Dryocetes autographus,Corticeus parallelus,predation,spp,156,16,154,51,2,weekly,Dryocetes autographus Corticeus parallelus predation,2,1996
HMK006,29,32,1996,Dryocetes autographus,Enoclerus nigripes,predation,spp,140,16,171.5,53,-31.5,weekly,Dryocetes autographus Enoclerus nigripes predation,2,1996
HMK006,29,33,1997,Dryocetes autographus,Enoclerus nigripes,predation,spp,156,16,224.5,53,-68.5,weekly,Dryocetes autographus Enoclerus nigripes predation,2,1996
HMK006,30,34,1996,Dryocetes autographus,Platysoma cylindrica,predation,spp,140,16,139,15,1,weekly,Dryocetes autographus Platysoma cylindrica predation,2,1996
HMK006,30,35,1997,Dryocetes autographus,Platysoma cylindrica,predation,spp,156,16,154,15,2,weekly,Dryocetes autographus Platysoma cylindrica predation,2,1996
HMK006,31,36,1996,Dryocetes autographus,Platysoma parallelum,predation,spp,140,16,138,18,2,weekly,Dryocetes autographus Platysoma parallelum predation,2,1996
HMK006,31,37,1997,Dryocetes autographus,Platysoma parallelum,predation,spp,156,16,156,18,0,weekly,Dryocetes autographus Platysoma parallelum predation,2,1996
HMK006,32,38,1996,Dryocetes autographus,Thanasimus dubius,predation,spp,140,16,137,-4,3,weekly,Dryocetes autographus Thanasimus dubius predation,2,1996
HMK006,32,39,1997,Dryocetes autographus,Thanasimus dubius,predation,spp,156,16,133,-4,23,weekly,Dryocetes autographus Thanasimus dubius predation,2,1996
HMK006,33,40,1996,Dryocetes autographus,Cucujus clavipes,predation,spp,140,16,103,61,37,weekly,Dryocetes autographus Cucujus clavipes predation,2,1996
HMK006,33,41,1997,Dryocetes autographus,Cucujus clavipes,predation,spp,156,16,164,61,-8,weekly,Dryocetes autographus Cucujus clavipes predation,2,1996
HMK006,34,42,1996,Gnathotrichus materiarius,Platysoma parallelum,predation,spp,132,11,138,18,-6,weekly,Gnathotrichus materiarius Platysoma parallelum predation,2,1996
HMK006,34,43,1997,Gnathotrichus materiarius,Platysoma parallelum,predation,spp,143,11,156,18,-13,weekly,Gnathotrichus materiarius Platysoma parallelum predation,2,1996
HMK006,35,44,1996,Gnathotrichus materiarius,Cucujus clavipes,predation,spp,132,11,103,61,29,weekly,Gnathotrichus materiarius Cucujus clavipes predation,2,1996
HMK006,35,45,1997,Gnathotrichus materiarius,Cucujus clavipes,predation,spp,143,11,164,61,-21,weekly,Gnathotrichus materiarius Cucujus clavipes predation,2,1996
HMK006,36,46,1996,Gnathotrichus materiarius,Platysoma cylindrica,predation,spp,132,11,139,15,-7,weekly,Gnathotrichus materiarius Platysoma cylindrica predation,2,1996
HMK006,36,47,1997,Gnathotrichus materiarius,Platysoma cylindrica,predation,spp,143,11,154,15,-11,weekly,Gnathotrichus materiarius Platysoma cylindrica predation,2,1996
HMK006,37,48,1996,Gnathotrichus materiarius,Corticeus parallelus,predation,spp,132,11,103,51,29,weekly,Gnathotrichus materiarius Corticeus parallelus predation,2,1996
HMK006,37,49,1997,Gnathotrichus materiarius,Corticeus parallelus,predation,spp,143,11,154,51,-11,weekly,Gnathotrichus materiarius Corticeus parallelus predation,2,1996
HMK006,38,50,1996,Gnathotrichus materiarius,Enoclerus nigripes,predation,spp,132,11,171.5,53,-39.5,weekly,Gnathotrichus materiarius Enoclerus nigripes predation,2,1996
HMK006,38,51,1997,Gnathotrichus materiarius,Enoclerus nigripes,predation,spp,143,11,224.5,53,-81.5,weekly,Gnathotrichus materiarius Enoclerus nigripes predation,2,1996
HMK006,39,52,1996,Gnathotrichus materiarius,Thanasimus dubius,predation,spp,132,11,137,-4,-5,weekly,Gnathotrichus materiarius Thanasimus dubius predation,2,1996
HMK006,39,53,1997,Gnathotrichus materiarius,Thanasimus dubius,predation,spp,143,11,133,-4,10,weekly,Gnathotrichus materiarius Thanasimus dubius predation,2,1996
HMK006,40,54,1996,Hylastes porculus,Cucujus clavipes,predation,spp,141,14.5,103,61,38,weekly,Hylastes porculus Cucujus clavipes predation,2,1996
HMK006,40,55,1997,Hylastes porculus,Cucujus clavipes,predation,spp,155.5,14.5,164,61,-8.5,weekly,Hylastes porculus Cucujus clavipes predation,2,1996
HMK006,41,56,1996,Hylastes porculus,Platysoma cylindrica,predation,spp,141,14.5,139,15,2,weekly,Hylastes porculus Platysoma cylindrica predation,2,1996
HMK006,41,57,1997,Hylastes porculus,Platysoma cylindrica,predation,spp,155.5,14.5,154,15,1.5,weekly,Hylastes porculus Platysoma cylindrica predation,2,1996
HMK006,42,58,1996,Hylastes porculus,Corticeus parallelus,predation,spp,141,14.5,103,51,38,weekly,Hylastes porculus Corticeus parallelus predation,2,1996
HMK006,42,59,1997,Hylastes porculus,Corticeus parallelus,predation,spp,155.5,14.5,154,51,1.5,weekly,Hylastes porculus Corticeus parallelus predation,2,1996
HMK006,43,60,1996,Hylastes porculus,Enoclerus nigripes,predation,spp,141,14.5,171.5,53,-30.5,weekly,Hylastes porculus Enoclerus nigripes predation,2,1996
HMK006,43,61,1997,Hylastes porculus,Enoclerus nigripes,predation,spp,155.5,14.5,224.5,53,-69,weekly,Hylastes porculus Enoclerus nigripes predation,2,1996
HMK006,44,62,1996,Hylastes porculus,Thanasimus dubius,predation,spp,141,14.5,137,-4,4,weekly,Hylastes porculus Thanasimus dubius predation,2,1996
HMK006,44,63,1997,Hylastes porculus,Thanasimus dubius,predation,spp,155.5,14.5,133,-4,22.5,weekly,Hylastes porculus Thanasimus dubius predation,2,1996
HMK006,45,64,1996,Hylastes porculus,Platysoma parallelum,predation,spp,141,14.5,138,18,3,weekly,Hylastes porculus Platysoma parallelum predation,2,1996
HMK006,45,65,1997,Hylastes porculus,Platysoma parallelum,predation,spp,155.5,14.5,156,18,-0.5,weekly,Hylastes porculus Platysoma parallelum predation,2,1996
HMK006,46,66,1996,Hylurgops rugipennis pinifex,Thanasimus dubius,predation,spp,139,-12,137,-4,2,weekly,Hylurgops rugipennis pinifex Thanasimus dubius predation,2,1996
HMK006,46,67,1997,Hylurgops rugipennis pinifex,Thanasimus dubius,predation,spp,127,-12,133,-4,-6,weekly,Hylurgops rugipennis pinifex Thanasimus dubius predation,2,1996
HMK006,47,68,1996,Hylurgops rugipennis pinifex,Platysoma parallelum,predation,spp,139,-12,138,18,1,weekly,Hylurgops rugipennis pinifex Platysoma parallelum predation,2,1996
HMK006,47,69,1997,Hylurgops rugipennis pinifex,Platysoma parallelum,predation,spp,127,-12,156,18,-29,weekly,Hylurgops rugipennis pinifex Platysoma parallelum predation,2,1996
HMK006,48,70,1996,Hylurgops rugipennis pinifex,Enoclerus nigripes,predation,spp,139,-12,171.5,53,-32.5,weekly,Hylurgops rugipennis pinifex Enoclerus nigripes predation,2,1996
HMK006,48,71,1997,Hylurgops rugipennis pinifex,Enoclerus nigripes,predation,spp,127,-12,224.5,53,-97.5,weekly,Hylurgops rugipennis pinifex Enoclerus nigripes predation,2,1996
HMK006,49,72,1996,Hylurgops rugipennis pinifex,Corticeus parallelus,predation,spp,139,-12,103,51,36,weekly,Hylurgops rugipennis pinifex Corticeus parallelus predation,2,1996
HMK006,49,73,1997,Hylurgops rugipennis pinifex,Corticeus parallelus,predation,spp,127,-12,154,51,-27,weekly,Hylurgops rugipennis pinifex Corticeus parallelus predation,2,1996
HMK006,50,74,1996,Hylurgops rugipennis pinifex,Cucujus clavipes,predation,spp,139,-12,103,61,36,weekly,Hylurgops rugipennis pinifex Cucujus clavipes predation,2,1996
HMK006,50,75,1997,Hylurgops rugipennis pinifex,Cucujus clavipes,predation,spp,127,-12,164,61,-37,weekly,Hylurgops rugipennis pinifex Cucujus clavipes predation,2,1996
HMK006,51,76,1996,Hylurgops rugipennis pinifex,Platysoma cylindrica,predation,spp,139,-12,139,15,0,weekly,Hylurgops rugipennis pinifex Platysoma cylindrica predation,2,1996
HMK006,51,77,1997,Hylurgops rugipennis pinifex,Platysoma cylindrica,predation,spp,127,-12,154,15,-27,weekly,Hylurgops rugipennis pinifex Platysoma cylindrica predation,2,1996
HMK006,52,78,1996,Ips grandicollis,Corticeus parallelus,predation,spp,139,10,103,51,36,weekly,Ips grandicollis Corticeus parallelus predation,2,1996
HMK006,52,79,1997,Ips grandicollis,Corticeus parallelus,predation,spp,149,10,154,51,-5,weekly,Ips grandicollis Corticeus parallelus predation,2,1996
HMK006,53,80,1996,Ips grandicollis,Cucujus clavipes,predation,spp,139,10,103,61,36,weekly,Ips grandicollis Cucujus clavipes predation,2,1996
HMK006,53,81,1997,Ips grandicollis,Cucujus clavipes,predation,spp,149,10,164,61,-15,weekly,Ips grandicollis Cucujus clavipes predation,2,1996
HMK006,54,82,1996,Ips grandicollis,Enoclerus nigripes,predation,spp,139,10,171.5,53,-32.5,weekly,Ips grandicollis Enoclerus nigripes predation,2,1996
HMK006,54,83,1997,Ips grandicollis,Enoclerus nigripes,predation,spp,149,10,224.5,53,-75.5,weekly,Ips grandicollis Enoclerus nigripes predation,2,1996
HMK006,55,84,1996,Ips grandicollis,Platysoma cylindrica,predation,spp,139,10,139,15,0,weekly,Ips grandicollis Platysoma cylindrica predation,2,1996
HMK006,55,85,1997,Ips grandicollis,Platysoma cylindrica,predation,spp,149,10,154,15,-5,weekly,Ips grandicollis Platysoma cylindrica predation,2,1996
HMK006,56,86,1996,Ips grandicollis,Platysoma parallelum,predation,spp,139,10,138,18,1,weekly,Ips grandicollis Platysoma parallelum predation,2,1996
HMK006,56,87,1997,Ips grandicollis,Platysoma parallelum,predation,spp,149,10,156,18,-7,weekly,Ips grandicollis Platysoma parallelum predation,2,1996
HMK006,57,88,1996,Ips grandicollis,Thanasimus dubius,predation,spp,139,10,137,-4,2,weekly,Ips grandicollis Thanasimus dubius predation,2,1996
HMK006,57,89,1997,Ips grandicollis,Thanasimus dubius,predation,spp,149,10,133,-4,16,weekly,Ips grandicollis Thanasimus dubius predation,2,1996
HMK006,58,90,1996,Ips pini,Enoclerus nigripes,predation,spp,134,-7,171.5,53,-37.5,weekly,Ips pini Enoclerus nigripes predation,2,1996
HMK006,58,91,1997,Ips pini,Enoclerus nigripes,predation,spp,127,-7,224.5,53,-97.5,weekly,Ips pini Enoclerus nigripes predation,2,1996
HMK006,59,92,1996,Ips pini,Platysoma parallelum,predation,spp,134,-7,138,18,-4,weekly,Ips pini Platysoma parallelum predation,2,1996
HMK006,59,93,1997,Ips pini,Platysoma parallelum,predation,spp,127,-7,156,18,-29,weekly,Ips pini Platysoma parallelum predation,2,1996
HMK006,60,94,1996,Ips pini,Thanasimus dubius,predation,spp,134,-7,137,-4,-3,weekly,Ips pini Thanasimus dubius predation,2,1996
HMK006,60,95,1997,Ips pini,Thanasimus dubius,predation,spp,127,-7,133,-4,-6,weekly,Ips pini Thanasimus dubius predation,2,1996
HMK006,61,96,1996,Ips pini,Platysoma cylindrica,predation,spp,134,-7,139,15,-5,weekly,Ips pini Platysoma cylindrica predation,2,1996
HMK006,61,97,1997,Ips pini,Platysoma cylindrica,predation,spp,127,-7,154,15,-27,weekly,Ips pini Platysoma cylindrica predation,2,1996
HMK006,62,98,1996,Ips pini,Cucujus clavipes,predation,spp,134,-7,103,61,31,weekly,Ips pini Cucujus clavipes predation,2,1996
HMK006,62,99,1997,Ips pini,Cucujus clavipes,predation,spp,127,-7,164,61,-37,weekly,Ips pini Cucujus clavipes predation,2,1996
HMK006,63,100,1996,Ips pini,Corticeus parallelus,predation,spp,134,-7,103,51,31,weekly,Ips pini Corticeus parallelus predation,2,1996
HMK006,63,101,1997,Ips pini,Corticeus parallelus,predation,spp,127,-7,154,51,-27,weekly,Ips pini Corticeus parallelus predation,2,1996
HMK006,64,102,1996,Monochamus spp.,Cucujus clavipes,predation,spp,186.5,-10,103,61,83.5,weekly,Monochamus spp. Cucujus clavipes predation,2,1996
HMK006,64,103,1997,Monochamus spp.,Cucujus clavipes,predation,spp,176.5,-10,164,61,12.5,weekly,Monochamus spp. Cucujus clavipes predation,2,1996
HMK006,65,104,1996,Monochamus spp.,Corticeus parallelus,predation,spp,186.5,-10,103,51,83.5,weekly,Monochamus spp. Corticeus parallelus predation,2,1996
HMK006,65,105,1997,Monochamus spp.,Corticeus parallelus,predation,spp,176.5,-10,154,51,22.5,weekly,Monochamus spp. Corticeus parallelus predation,2,1996
HMK006,66,106,1996,Monochamus spp.,Platysoma cylindrica,predation,spp,186.5,-10,139,15,47.5,weekly,Monochamus spp. Platysoma cylindrica predation,2,1996
HMK006,66,107,1997,Monochamus spp.,Platysoma cylindrica,predation,spp,176.5,-10,154,15,22.5,weekly,Monochamus spp. Platysoma cylindrica predation,2,1996
HMK006,67,108,1996,Monochamus spp.,Thanasimus dubius,predation,spp,186.5,-10,137,-4,49.5,weekly,Monochamus spp. Thanasimus dubius predation,2,1996
HMK006,67,109,1997,Monochamus spp.,Thanasimus dubius,predation,spp,176.5,-10,133,-4,43.5,weekly,Monochamus spp. Thanasimus dubius predation,2,1996
HMK006,68,110,1996,Monochamus spp.,Enoclerus nigripes,predation,spp,186.5,-10,171.5,53,15,weekly,Monochamus spp. Enoclerus nigripes predation,2,1996
HMK006,68,111,1997,Monochamus spp.,Enoclerus nigripes,predation,spp,176.5,-10,224.5,53,-48,weekly,Monochamus spp. Enoclerus nigripes predation,2,1996
HMK006,69,112,1996,Monochamus spp.,Platysoma parallelum,predation,spp,186.5,-10,138,18,48.5,weekly,Monochamus spp. Platysoma parallelum predation,2,1996
HMK006,69,113,1997,Monochamus spp.,Platysoma parallelum,predation,spp,176.5,-10,156,18,20.5,weekly,Monochamus spp. Platysoma parallelum predation,2,1996
HMK006,70,114,1996,Orthotomicus caelatus,Corticeus parallelus,predation,spp,139,15,103,51,36,weekly,Orthotomicus caelatus Corticeus parallelus predation,2,1996
HMK006,70,115,1997,Orthotomicus caelatus,Corticeus parallelus,predation,spp,154,15,154,51,0,weekly,Orthotomicus caelatus Corticeus parallelus predation,2,1996
HMK006,71,116,1996,Orthotomicus caelatus,Platysoma cylindrica,predation,spp,139,15,139,15,0,weekly,Orthotomicus caelatus Platysoma cylindrica predation,2,1996
HMK006,71,117,1997,Orthotomicus caelatus,Platysoma cylindrica,predation,spp,154,15,154,15,0,weekly,Orthotomicus caelatus Platysoma cylindrica predation,2,1996
HMK006,72,118,1996,Orthotomicus caelatus,Thanasimus dubius,predation,spp,139,15,137,-4,2,weekly,Orthotomicus caelatus Thanasimus dubius predation,2,1996
HMK006,72,119,1997,Orthotomicus caelatus,Thanasimus dubius,predation,spp,154,15,133,-4,21,weekly,Orthotomicus caelatus Thanasimus dubius predation,2,1996
HMK006,73,120,1996,Orthotomicus caelatus,Enoclerus nigripes,predation,spp,139,15,171.5,53,-32.5,weekly,Orthotomicus caelatus Enoclerus nigripes predation,2,1996
HMK006,73,121,1997,Orthotomicus caelatus,Enoclerus nigripes,predation,spp,154,15,224.5,53,-70.5,weekly,Orthotomicus caelatus Enoclerus nigripes predation,2,1996
HMK006,74,122,1996,Orthotomicus caelatus,Platysoma parallelum,predation,spp,139,15,138,18,1,weekly,Orthotomicus caelatus Platysoma parallelum predation,2,1996
HMK006,74,123,1997,Orthotomicus caelatus,Platysoma parallelum,predation,spp,154,15,156,18,-2,weekly,Orthotomicus caelatus Platysoma parallelum predation,2,1996
HMK006,75,124,1996,Orthotomicus caelatus,Cucujus clavipes,predation,spp,139,15,103,61,36,weekly,Orthotomicus caelatus Cucujus clavipes predation,2,1996
HMK006,75,125,1997,Orthotomicus caelatus,Cucujus clavipes,predation,spp,154,15,164,61,-10,weekly,Orthotomicus caelatus Cucujus clavipes predation,2,1996
HMK006,76,126,1996,Pissodes approximatus,Platysoma parallelum,predation,spp,118.5,-24.5,138,18,-19.5,weekly,Pissodes approximatus Platysoma parallelum predation,2,1996
HMK006,76,127,1997,Pissodes approximatus,Platysoma parallelum,predation,spp,94,-24.5,156,18,-62,weekly,Pissodes approximatus Platysoma parallelum predation,2,1996
HMK006,77,128,1996,Pissodes approximatus,Corticeus parallelus,predation,spp,118.5,-24.5,103,51,15.5,weekly,Pissodes approximatus Corticeus parallelus predation,2,1996
HMK006,77,129,1997,Pissodes approximatus,Corticeus parallelus,predation,spp,94,-24.5,154,51,-60,weekly,Pissodes approximatus Corticeus parallelus predation,2,1996
HMK006,78,130,1996,Pissodes approximatus,Cucujus clavipes,predation,spp,118.5,-24.5,103,61,15.5,weekly,Pissodes approximatus Cucujus clavipes predation,2,1996
HMK006,78,131,1997,Pissodes approximatus,Cucujus clavipes,predation,spp,94,-24.5,164,61,-70,weekly,Pissodes approximatus Cucujus clavipes predation,2,1996
HMK006,79,132,1996,Pissodes approximatus,Enoclerus nigripes,predation,spp,118.5,-24.5,171.5,53,-53,weekly,Pissodes approximatus Enoclerus nigripes predation,2,1996
HMK006,79,133,1997,Pissodes approximatus,Enoclerus nigripes,predation,spp,94,-24.5,224.5,53,-130.5,weekly,Pissodes approximatus Enoclerus nigripes predation,2,1996
HMK006,80,134,1996,Pissodes approximatus,Platysoma cylindrica,predation,spp,118.5,-24.5,139,15,-20.5,weekly,Pissodes approximatus Platysoma cylindrica predation,2,1996
HMK006,80,135,1997,Pissodes approximatus,Platysoma cylindrica,predation,spp,94,-24.5,154,15,-60,weekly,Pissodes approximatus Platysoma cylindrica predation,2,1996
HMK006,81,136,1996,Pissodes approximatus,Thanasimus dubius,predation,spp,118.5,-24.5,137,-4,-18.5,weekly,Pissodes approximatus Thanasimus dubius predation,2,1996
HMK006,81,137,1997,Pissodes approximatus,Thanasimus dubius,predation,spp,94,-24.5,133,-4,-39,weekly,Pissodes approximatus Thanasimus dubius predation,2,1996
HMK006,82,138,1996,Tomicus piniperda,Platysoma parallelum,predation,spp,88.5,-8,138,18,-49.5,weekly,Tomicus piniperda Platysoma parallelum predation,2,1996
HMK006,82,139,1997,Tomicus piniperda,Platysoma parallelum,predation,spp,80.5,-8,156,18,-75.5,weekly,Tomicus piniperda Platysoma parallelum predation,2,1996
HMK006,83,140,1996,Tomicus piniperda,Cucujus clavipes,predation,spp,88.5,-8,103,61,-14.5,weekly,Tomicus piniperda Cucujus clavipes predation,2,1996
HMK006,83,141,1997,Tomicus piniperda,Cucujus clavipes,predation,spp,80.5,-8,164,61,-83.5,weekly,Tomicus piniperda Cucujus clavipes predation,2,1996
HMK006,84,142,1996,Tomicus piniperda,Enoclerus nigripes,predation,spp,88.5,-8,171.5,53,-83,weekly,Tomicus piniperda Enoclerus nigripes predation,2,1996
HMK006,84,143,1997,Tomicus piniperda,Enoclerus nigripes,predation,spp,80.5,-8,224.5,53,-144,weekly,Tomicus piniperda Enoclerus nigripes predation,2,1996
HMK006,85,144,1996,Tomicus piniperda,Corticeus parallelus,predation,spp,88.5,-8,103,51,-14.5,weekly,Tomicus piniperda Corticeus parallelus predation,2,1996
HMK006,85,145,1997,Tomicus piniperda,Corticeus parallelus,predation,spp,80.5,-8,154,51,-73.5,weekly,Tomicus piniperda Corticeus parallelus predation,2,1996
HMK006,86,146,1996,Tomicus piniperda,Platysoma cylindrica,predation,spp,88.5,-8,139,15,-50.5,weekly,Tomicus piniperda Platysoma cylindrica predation,2,1996
HMK006,86,147,1997,Tomicus piniperda,Platysoma cylindrica,predation,spp,80.5,-8,154,15,-73.5,weekly,Tomicus piniperda Platysoma cylindrica predation,2,1996
HMK006,87,148,1996,Tomicus piniperda,Thanasimus dubius,predation,spp,88.5,-8,137,-4,-48.5,weekly,Tomicus piniperda Thanasimus dubius predation,2,1996
HMK006,87,149,1997,Tomicus piniperda,Thanasimus dubius,predation,spp,80.5,-8,133,-4,-52.5,weekly,Tomicus piniperda Thanasimus dubius predation,2,1996
HMK006,88,150,1996,Dendroctonus valens,Dryocetes autographus,competition,spp,139.5,10.5,140,16,-0.5,weekly,Dendroctonus valens Dryocetes autographus competition,2,1996
HMK006,88,151,1997,Dendroctonus valens,Dryocetes autographus,competition,spp,150,10.5,156,16,-6,weekly,Dendroctonus valens Dryocetes autographus competition,2,1996
HMK006,89,152,1996,Dendroctonus valens,Gnathotrichus materiarius,competition,spp,139.5,10.5,132,11,7.5,weekly,Dendroctonus valens Gnathotrichus materiarius competition,2,1996
HMK006,89,153,1997,Dendroctonus valens,Gnathotrichus materiarius,competition,spp,150,10.5,143,11,7,weekly,Dendroctonus valens Gnathotrichus materiarius competition,2,1996
HMK006,90,154,1996,Dendroctonus valens,Hylastes porculus,competition,spp,139.5,10.5,141,14.5,-1.5,weekly,Dendroctonus valens Hylastes porculus competition,2,1996
HMK006,90,155,1997,Dendroctonus valens,Hylastes porculus,competition,spp,150,10.5,155.5,14.5,-5.5,weekly,Dendroctonus valens Hylastes porculus competition,2,1996
HMK006,91,156,1996,Dendroctonus valens,Hylurgops rugipennis pinifex,competition,spp,139.5,10.5,139,-12,0.5,weekly,Dendroctonus valens Hylurgops rugipennis pinifex competition,2,1996
HMK006,91,157,1997,Dendroctonus valens,Hylurgops rugipennis pinifex,competition,spp,150,10.5,127,-12,23,weekly,Dendroctonus valens Hylurgops rugipennis pinifex competition,2,1996
HMK006,92,158,1996,Dendroctonus valens,Ips grandicollis,competition,spp,139.5,10.5,139,10,0.5,weekly,Dendroctonus valens Ips grandicollis competition,2,1996
HMK006,92,159,1997,Dendroctonus valens,Ips grandicollis,competition,spp,150,10.5,149,10,1,weekly,Dendroctonus valens Ips grandicollis competition,2,1996
HMK006,93,160,1996,Dendroctonus valens,Ips pini,competition,spp,139.5,10.5,134,-7,5.5,weekly,Dendroctonus valens Ips pini competition,2,1996
HMK006,93,161,1997,Dendroctonus valens,Ips pini,competition,spp,150,10.5,127,-7,23,weekly,Dendroctonus valens Ips pini competition,2,1996
HMK006,94,162,1996,Dendroctonus valens,Monochamus spp.,competition,spp,139.5,10.5,186.5,-10,-47,weekly,Dendroctonus valens Monochamus spp. competition,2,1996
HMK006,94,163,1997,Dendroctonus valens,Monochamus spp.,competition,spp,150,10.5,176.5,-10,-26.5,weekly,Dendroctonus valens Monochamus spp. competition,2,1996
HMK006,95,164,1996,Dendroctonus valens,Orthotomicus caelatus,competition,spp,139.5,10.5,139,15,0.5,weekly,Dendroctonus valens Orthotomicus caelatus competition,2,1996
HMK006,95,165,1997,Dendroctonus valens,Orthotomicus caelatus,competition,spp,150,10.5,154,15,-4,weekly,Dendroctonus valens Orthotomicus caelatus competition,2,1996
HMK006,96,166,1996,Dendroctonus valens,Pissodes approximatus,competition,spp,139.5,10.5,118.5,-24.5,21,weekly,Dendroctonus valens Pissodes approximatus competition,2,1996
HMK006,96,167,1997,Dendroctonus valens,Pissodes approximatus,competition,spp,150,10.5,94,-24.5,56,weekly,Dendroctonus valens Pissodes approximatus competition,2,1996
HMK006,97,168,1996,Dendroctonus valens,Tomicus piniperda,competition,spp,139.5,10.5,88.5,-8,51,weekly,Dendroctonus valens Tomicus piniperda competition,2,1996
